subdominio,categoria
Exposição a conteúdo tóxico,Impactos Socioculturais e Éticos
Falta de capacidade ou robustez,Falhas Técnicas de Desempenho
Aumento da desigualdade e declínio na qualidade do emprego,Impactos Socioculturais e Éticos
Discriminação injusta e deturpação,Impactos Socioculturais e Éticos
Dependência excessiva e uso inseguro,Riscos Sistêmicos e Econômicos
Vulnerabilidades de segurança e ataques a sistemas de IA,Riscos de Segurança e Uso Malicioso
Fraudes, golpes e manipulação direcionada,Riscos de Segurança e Uso Malicioso
IA buscando seus próprios objetivos em conflito com os objetivos ou valores humanos,Falhas Técnicas de Desempenho
Informações falsas ou enganosas,Falhas Técnicas de Desempenho
Dinâmicas competitivas,Riscos Sistêmicos e Econômicos
Violação da privacidade por meio da obtenção, vazamento ou inferência correta de informações confidenciais,Impactos Socioculturais e Éticos
Desempenho desigual entre grupos,Impactos Socioculturais e Éticos
Falta de transparência ou interpretabilidade,Falhas Técnicas de Desempenho
Ataques cibernéticos, desenvolvimento ou uso de armas e danos em massa,Riscos de Segurança e Uso Malicioso
Perda da capacidade de ação e da autonomia humanas,Riscos Sistêmicos e Econômicos
Desinformação, vigilância e influência em grande escala,Riscos de Segurança e Uso Malicioso
Poluição do ecossistema da informação e perda da realidade consensual,Riscos Sistêmicos e Econômicos
Centralização do poder e distribuição injusta de benefícios,Riscos Sistêmicos e Econômicos
Falha na governança,Riscos Sistêmicos e Econômicos
Desvalorização econômica e cultural do esforço humano,Riscos Sistêmicos e Econômicos
Danos ambientais,Riscos Sistêmicos e Econômicos
